code,points,name,group,subgroup
62036B,38342,－ 小腸移植 intestinal flap,第七節,皮膚惡性腫瘤切除及植皮術
62037B,26627,－ 游離筋膜瓣移植 free fascia flap,第七節,皮膚惡性腫瘤切除及植皮術
62038B,38342,－ 游離功能性肌瓣移植 free functioning muscle transfer,第七節,皮膚惡性腫瘤切除及植皮術
62040B,9420,管型皮片整位術,第七節,皮膚惡性腫瘤切除及植皮術
62041B,1544,微晶 & 一般磨皮術(小於五公分) Micro & general dermabrasion(<5cm) 註：限皮膚類澱粉症及表皮母斑症病患申報。,第七節,皮膚惡性腫瘤切除及植皮術
62042B,1640,微晶 & 一般磨皮術(五至十公分) Micro & general dermabrasion(5-10cm) 註：限皮膚類澱粉症及表皮母斑症病患申報。,第七節,皮膚惡性腫瘤切除及植皮術
62043B,2130,微晶 & 一般磨皮術(超過十公分) Micro & general dermabrasion(>10cm) 註：限皮膚類澱粉症及表皮母斑症病患申報。,第七節,皮膚惡性腫瘤切除及植皮術
62044B,2200,肌肉切片 Muscle biopsy,第七節,皮膚惡性腫瘤切除及植皮術
62045B,3336,局部皮瓣(小於一公分),第七節,皮膚惡性腫瘤切除及植皮術
62046C,3350,局部皮瓣(一至二公分) Local flap (1-2cm) 註：屬西醫基層總額部門院所，除山地離島地區外，限由專 任醫師開立處方及執行始可申報。,第七節,皮膚惡性腫瘤切除及植皮術
62047C,7310,局部皮瓣(超過二公分) Local flap (>2cm) 註：屬西醫基層總額部門院所，除山地離島地區外，限由專 任醫師開立處方及執行始可申報。,第七節,皮膚惡性腫瘤切除及植皮術
62049B,5183,手部V-Y 型皮瓣手術 V-Y advancement flap (hand),第七節,皮膚惡性腫瘤切除及植皮術
62051B,10880,三角胸皮瓣 Delto-pectoralis flap,第七節,皮膚惡性腫瘤切除及植皮術
62052B,10440,舌瓣 Tongue flap,第七節,皮膚惡性腫瘤切除及植皮術
62053B,10880,肌移位術 Muscle rotation flap,第七節,皮膚惡性腫瘤切除及植皮術
62054B,10880,皮腱膜移位術 Fasciocutaneous rotation flap,第七節,皮膚惡性腫瘤切除及植皮術
62055B,10880,皮肌移位 Myocutaneous rotation flap,第七節,皮膚惡性腫瘤切除及植皮術
62056B,7540,腹股溝皮瓣移植術 Groin flap,第七節,皮膚惡性腫瘤切除及植皮術
62058B,24250,大胸肌皮瓣 Pectoralis major myocutaneous flap,第七節,皮膚惡性腫瘤切除及植皮術
62059B,7310,旋轉皮瓣移植術(手部以外) Rotation flap 註：限手部以外之大型皮瓣移植。,第七節,皮膚惡性腫瘤切除及植皮術
62060B,7310,移前皮瓣移植術 Advance flap,第七節,皮膚惡性腫瘤切除及植皮術
62062C,1180,"腫瘤組織檢查切片術,部位未明示 Tumor unspecified site biosy",第七節,皮膚惡性腫瘤切除及植皮術
62063B,18780,舌再接手術 Replantation of tongue 註：限舌頭完全斷裂行顯微手術者申報。,第七節,皮膚惡性腫瘤切除及植皮術
62064C,5416,皮膚全層植補術FTSG - 每增加十平方公分 Full-thickness skin graft --add 10 c ㎡,第七節,顏面皮膚及皮下腫瘤切除術
62065C,6057,"臉、頸部植皮-五平方公分 Face, neck -5c㎡",第七節,顏面皮膚及皮下腫瘤切除術
62066C,1730,"臉、頸部植皮- 每增加五平方公分 Face, neck -every 5 c㎡ of increase",第七節,顏面皮膚及皮下腫瘤切除術
62067C,5954,"手部、會陰、腳植皮 -五平方公分 Skin graft for hand,perineum, and foot-5c㎡",第七節,顏面皮膚及皮下腫瘤切除術
62068C,1644,"手部、會陰、腳植皮 - 每增加五平方公分 Skin graft for hand,perineum, and foot-every 5c㎡",第七節,顏面皮膚及皮下腫瘤切除術
62069C,4986,V-Y 形皮瓣 V-Y plasty,第七節,臉部以外皮膚及皮下腫瘤摘除術
62070B,7487,口腔粘膜皮瓣手術 Oral mucous flap 1.口腔粘膜包括齒齦、頰部、顎部及舌部粘膜。 2.內含一般材料費及單次使用鑽針，得另加計百分之七十二。,第七節,皮膚惡性腫瘤切除及植皮術
62071B,2848,鉺雅鉻雷射手術 Erb-YAG laser operation 註：含一般材料費，得另加計百分之四。,第七節,皮膚惡性腫瘤切除及植皮術
62072B,10861,水刀清創 Hydrosurgery debridement 1.適應症：二度燙傷以上及總燙傷面積百分之二十以上，接 受自體皮膚移植手術當次得申報水刀清創。 2.支付規範：,第七節,皮膚惡性腫瘤切除及植皮術
62073B,47775,－單區塊組織瓣 one-perforator,第七節,顯微血管游離瓣手術－穿通枝瓣移植
62074B,55237,－雙區塊組織瓣 two-perforators,第七節,顯微血管游離瓣手術－穿通枝瓣移植
62075B,62698,－三區塊以上組織瓣 three-perforators and above,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63001B,5514,－ 單側 unilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63002B,8670,－ 雙側 bilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63003B,6752,－ 單側 unilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63004B,8430,－ 雙側 bilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63005C,4349,－ 單側 unilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63006C,4784,－ 雙側 bilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63007B,25595,－ 單側 unilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63008B,38393,－ 雙側 bilateral,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63009C,7588,皮下乳房切除術 Subcutaneous mastectomy,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63010C,2801,乳房腫瘤組織檢查切片術 Breast tumor biopsy,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63011C,5452,術前定位下乳房腫瘤切除術，單側 Breast tumor excision after needle localization,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63012B,15798,乳房部分切除手術併前哨淋巴結摘除手術－單側 Partial mastectomy and sentinel node(s) excision－unilateral 註： 1.適應症：惡性乳癌或乳房原位癌經診斷疑有高度惡性或侵 犯性乳癌者。 2.支付規範： (1)術中進行切片送病理冷凍切片檢查，以不得申報 63005C、63006C、63010C為原則，倘因術前穿刺無法 確認診斷者，須於病歷註明理由並檢附相關證明備查， 始得申報。 (2)一般材料費，得另加計百分之五十。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63013B,23637,乳房部分切除手術併標準腋下淋巴廓清術－單側 Partial mastectomy + axillary lymph node dissection－ unilateral 註： 1.適應症：惡性乳癌或乳房原位癌經診斷疑有高度惡性或侵 犯性乳癌者。 2.支付規範：,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63014B,23390,乳房全切除手術併前哨淋巴結摘除手術－單側 Simple mastectomy + sentinel lymph node biopsy－unilateral 註： 1.適應症：惡性乳癌或乳房原位癌經診斷疑有高度惡性或侵 犯性乳癌者。 2.支付規範： (1)不得同時申報：63004B。 (2)術中進行切片送病理冷凍切片檢查，以不得申報 63005C、63006C、63010C為原則，倘因術前穿刺無法 確認診斷者，須於病歷註明理由並檢附相關證明備查， 始得申報。 (3)一般材料費，得另加計百分之三十三。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63015B,10046,乳房部分切除手術－單側 Partial mastectomy－unilateral 註： 1.適應症：惡性乳癌或乳房原位癌經診斷疑有高度惡性或侵 犯性乳癌者。 2.支付規範： (1)術中進行切片送病理冷凍切片檢查，以不得申報 63005C、63006C、63010C為原則，倘因術前穿刺無法 確認診斷者，須於病歷註明理由並檢附相關證明備查， 始得申報。 (2)一般材料費，得另加計百分之五十四。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
63016B,18555,乳房全切除手術－單側 Simple mastectomy－unilateral 註： 1.適應症：惡性乳癌或乳房原位癌經診斷疑有高度惡性或侵 犯性乳癌者。 2.支付規範： (1)不得同時申報：63004B。 (2)術中進行切片送病理冷凍切片檢查，以不得申報 63005C、63006C、63010C為原則，倘因術前穿刺無法 確認診斷者，須於病歷註明理由並檢附相關證明備查， 始得申報。 (3)一般材料費，得另加計百分之三十三。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64001B,4458,骨開窗術 Fenestration 註：一般材料費及單次使用鑽石鑽頭、氣動切割鑽頭，得另 加計百分之一百二十九。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64002B,4018,骨或軟骨移植術 Bone or osteochondral graft,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64003C,5852,"骨髓炎之死骨切除術或蝶形手術及擴創術 （包含指骨、掌骨、蹠骨） Sequestretomy or saucerization & debridement for osteomyelitis (including phalanges, metacarpals, metatarsals) 註： 1.如係膿瘍切開者應依切開創傷處理申報。 2.一般材料費及單次使用鑽石鑽頭、氣動切割鑽頭，得另加 計百分之一百十一。",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64004C,6771,"骨髓炎之死骨切除術或蝶形手術及擴創術 （包含脛骨、腓骨、橈骨、尺骨、膝骨、骨盤） Sequestretomy or saucerization & debridement for osteomyelitis(including tibia, fibula, radius ulna humerus, pelvis) 註： 1.如係膿瘍切開者依切開創傷處理申報。 2.一般材料費及單次使用鑽石鑽頭、氣動切割鑽頭，得另加 計百分之一百零三。",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64005B,6802,骨髓炎之死骨切除術或蝶形手術及擴創術 (包括：頭骨、顱骨、股骨、肋骨、脊椎骨) Sequestrectomy or saucerization & debridement for osteomyelitis 註： 1.如係膿瘍切開者依切開創傷處理申報。 2.一般材料費及單次使用鑽石鑽頭、氣動切割鑽頭，得另加 計百分之一百零三。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64006B,5681,"矯正切骨術－肱骨、尺骨、橈骨、股骨、脛骨或腓骨 Corrective osteotomy of humerus,ulna,radius,femur,tibia or fibula 註：一般材料費及單次使用骨鋸片，得另加計百分之一百。",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64007B,4315,骨片切取術 Ostectomy 註：一般材料費及單次使用鑽石鑽頭、氣動切割鑽頭，得另 加計百分之一百三十二。,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64008C,2566,鼻骨骨折閉鎖復位術 Closed reduction of nasal bone fracture,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64012B,4296,脊椎肋骨突起切除術 Costo-transversectomy,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64013B,4401,"鎖骨部份摘除術 Excision of clavicle, partial",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64014B,7380,"鎖骨全部摘除術 Excision of clavicle, total",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64015C,5604,鎖骨骨折開放復位術 Open Reduction of clavicle fracture,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64016C,2058,鎖骨骨折固定術 Close reduction & immobilization of fractured clavicle,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64017C,460,肋骨骨折固定術（膠布固定法） Immobilization of rib fracture,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64020B,2510,肋骨部份切除術 Partial excision of rib,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64021B,1790,胸壁無熱性膿瘍根治手術 Radical curettage of thoracic cold abscess,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64022B,7285,－ 大腿 thigh,第七節,顯微血管游離瓣手術－穿通枝瓣移植
64023B,6057,"－ 小腿、上臂、前臂 leg, arm, forearm",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64024B,4555,"－ 腕、踝 wrist, ankle",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64025C,3701,"－ 指、趾 finger, toe",第七節,顯微血管游離瓣手術－穿通枝瓣移植
64026B,4532,"－ 大腿、小腿、上臂、前臂 thigh, leg, arm, forearm",第七節,斷端成形術
64027C,3144,"－ 指、趾 finger,toe",第七節,斷端成形術
64028C,11000,股骨幹骨折開放性復位術 Open reduction for fracture of femoral shaft 註：一般材料費及單次使用鑽頭，得另加計百分之七十。,第七節,斷端成形術
64029B,12000,股骨頸骨折開放性復位術 Open reduction for fracture of femoral neck 註： 1.包含股骨粗隆間或股骨粗隆周邊骨折 including intertrochan or peritrochanteric fracture。 2.一般材料費及單次使用骨鋸片，得另加計百分之七十六。,第七節,斷端成形術
64030B,14000,"股骨頸骨折開放性復位術,帶肌肉血管骨移植 Open reduction for fracture of femoral neck with muscle pedicle bone graft",第七節,斷端成形術
64031C,10000,脛骨骨折開放性復位術 Open reduction for fracture of tibia 註：一般材料費及單次使用鑽頭，得另加計百分之七十二。,第七節,斷端成形術
64032B,4938,"橈骨、尺骨骨折開放性復位術 Open reduction for fracture of radius,ulna 註：一般材料費及單次使用鑽頭，得另加計百分之九十一。",第七節,斷端成形術
64034B,4480,膝蓋骨骨折開放性復位術 Open reduction for fracture of patella,第七節,斷端成形術
64035C,6720,"腕、跗、掌、蹠骨骨折開放性復位術 Open reduction for fracture of carpal, tarsal,meta-carpal,meta-tarsal 註：一般材料費及單次使用整型用電燒頭，得另加計百分之 九十七。",第七節,斷端成形術
64036C,3176,指、趾骨骨折開放性復位術 Open reduction for fracture of fingers and toes,第七節,斷端成形術
64037B,3352,手、足骨摘除術 Excision of carpal and tarsal bone,第七節,斷端成形術
64041C,3250,大腿骨骨折徒手復位術 Close reduction for fracture of femur bone,第七節,斷端成形術
64042C,3857,脊椎骨、盆骨骨折徒手復位術 Close reduction for fracture of spine or pelvis bone,第七節,斷端成形術
64043C,2928,"下腿骨、上臂骨骨折徒手復位術 Close reduction for fracture of tibia, humerus",第七節,斷端成形術
64044C,2845,前臂骨骨折徒手復位術 Close reduction for fracture of forearm bone,第七節,斷端成形術
64045C,2474,腕骨骨折徒手復位術 Close reduction for fracture of carpal bone,第七節,斷端成形術
64046C,2262,踝骨骨折徒手復位術 Close reduction for fracture of ankle bone,第七節,斷端成形術
64047C,1800,掌骨骨折徒手復位術 Close reduction for fracture of metacarpal bone 註：申報費用時應檢附x光片。,第七節,斷端成形術
64048C,1206,蹠骨骨折徒手復位術 Close reduction for fracture of metatarsal bone,第七節,斷端成形術
64049C,1740,指、趾骨骨折徒手復位術 Close reduction for fracture of bones for fingers and toes 註：申報費用時應檢附x光片。,第七節,斷端成形術
64050B,6140,膝蓋骨(髕骨)位置重整術 Realiqnment of patella,第七節,斷端成形術
64052B,7391,－ 股關節 hip,第七節,急性化膿性關節炎切開術
64053B,6373,"－ 肩關節、肘關節、腕關節、膝關節、踝關節 shoulder, elbow, wrist , knee or ankle",第七節,急性化膿性關節炎切開術
64054B,8290,－ 股關節 hip,第七節,滑膜切除術或關節囊切除術
64055B,7080,－ 膝關節 knee,第七節,滑膜切除術或關節囊切除術
64056B,5632,"－ 肩關節、肘關節、腕關節或踝關節 shoulder elbow, wrist or ankle",第七節,滑膜切除術或關節囊切除術
64057B,4473,－ 指趾 phalanges,第七節,滑膜切除術或關節囊切除術
64058B,4820,"指、趾關節固定術 Arthrodesis of finger, toe",第七節,滑膜切除術或關節囊切除術
64059B,6149,肘關節截斷術 Disarticulation of elbow,第七節,滑膜切除術或關節囊切除術
64060B,6324,腕關節截斷術 Disarticulation of wrist,第七節,滑膜切除術或關節囊切除術
64061B,5720,膝關節截斷術 Disarticulation of knee,第七節,滑膜切除術或關節囊切除術
64062B,6424,踝關節截斷術 Disarticulation of ankle,第七節,滑膜切除術或關節囊切除術
64063C,3609,指、趾關節截斷術 Disarticulation of finger or toe,第七節,滑膜切除術或關節囊切除術
64064B,7212,股關節脫位開放性復位術 Open reduction for dislocation of hip joint,第七節,滑膜切除術或關節囊切除術
64065B,5834,肩關節脫位開放性復位術 Open reduction for dislocation of shoulder joint,第七節,滑膜切除術或關節囊切除術
64066C,5899,肘關節脫位開放性復位術 Open reduction for dislocation of elbow joint,第七節,滑膜切除術或關節囊切除術
64067C,6349,膝關節脫位開放性復位術 Open reduction for dislocation of knee joint,第七節,滑膜切除術或關節囊切除術
64068C,4090,腕關節脫位開放性復位術 Open reduction for dislocation of wrist joint,第七節,滑膜切除術或關節囊切除術
64069C,4548,踝關節脫位開放性復位術 Open reduction for dislocation of ankle joint,第七節,滑膜切除術或關節囊切除術
64070C,3380,"指、趾關節脫位開放性復位術 Open reduction for dislocation of finger, toe 註：一般材料費及單次使用小骨鋸片，得另加計百分之八十",第七節,滑膜切除術或關節囊切除術
64071B,4257,胸鎖關節脫位開放性復位術 Open reduction for dislocation of sterno-clavicular,第七節,滑膜切除術或關節囊切除術
64072B,5684,肩鎖關節脫位開放性復位術 Open reduction for dislocation of acromio-clavicle joint,第七節,滑膜切除術或關節囊切除術
64073C,2401,股關節脫位徒手復位術 Close reduction for dislocation of hip joint,第七節,滑膜切除術或關節囊切除術
64074C,1540,肩關節脫位徒手復位術 Close reduction for dislocation of shoulder joint,第七節,滑膜切除術或關節囊切除術
64075C,1289,肘關節脫位徒手復位術 Close reduction for dislocation of elbow joint,第七節,滑膜切除術或關節囊切除術
64076C,1513,膝關節脫位徒手復位術 Close reduction for dislocation of knee joint,第七節,滑膜切除術或關節囊切除術
64077C,1790,腕關節脫位徒手復位術 Close reduction for dislocation of wrist joint,第七節,滑膜切除術或關節囊切除術
64078C,1246,踝關節脫位徒手復位術 Close reduction for dislocation of ankle joint,第七節,滑膜切除術或關節囊切除術
64079C,852,"指、趾關節脫位徒手復位術 Close reduction for dislocation of finger,toe",第七節,滑膜切除術或關節囊切除術
64080C,2853,徒手關節授動術 Brisement force (manipulation of joint),第七節,滑膜切除術或關節囊切除術
64081C,2500,板機指手術 Trigger finger 註：媽媽手手術(Trigger finger or De Quervain's Tendinitis) 可 比照申報,第七節,滑膜切除術或關節囊切除術
64082B,4162,"－腰肌炎、臂肌炎或大腿肌炎 myositis of positis , gluteal or femural",第七節,滑膜切除術或關節囊切除術
64083B,3274,－其他部位 other myositis,第七節,滑膜切除術或關節囊切除術
64084B,3963,斜角肌切斷術 Myotomy of scalaneus muscle,第七節,滑膜切除術或關節囊切除術
64085B,5977,斜頸手術 Operation for torticollis/wry neck,第七節,滑膜切除術或關節囊切除術
64086B,5861,"頸部瘻管、頸部囊腫摘出術 Excision of cervical fistula, cervical cyst",第七節,滑膜切除術或關節囊切除術
64087C,2765,腱鞘囊摘出術、液囊腫瘤摘出術 Excision of ganglion or hygroma,第七節,滑膜切除術或關節囊切除術
64088C,4807,腱、韌帶皮下斷裂縫合術 Subcutaneous tenorrhaphy,第七節,滑膜切除術或關節囊切除術
64089C,2727,腱、韌帶皮下切斷手術 Subcutaneous tenectomy 註：屬西醫基層總額部門院所，除山地離島地區外，限由專 任醫師開立處方及執行始可申報。,第七節,滑膜切除術或關節囊切除術
64090C,4874,－ 單腱 single,第七節,肌腱修補術
64091C,1871,－ 每增加一條 one added,第七節,肌腱修補術
64092B,4540,指關節側韌帶切除術 Capsulectomy of digital joint,第七節,肌腱修補術
64095B,2754,Gillie氏手術（瞼外翻手術） Gillies' operation,第七節,肌腱修補術
64096B,3010,"顴骨，封閉性復位Zygoma,close reduction",第七節,肌腱修補術
64098B,7501,－ 簡單 simple,第七節,肌腱修補術
64099B,16501,－ 複雜 complicated 註：64099B一般材料費及單次使用鑽頭，得另加計百分之六 十四。,第七節,肌腱修補術
64100B,2603,顎骨、口蓋、舌良性腫瘤摘除術 Extirpation of benign tumors on palate or tongue 註：一般材料費及單次使用鑽頭，得另加計百分之一百二十 一。,第七節,肌腱修補術
64101B,4812,－ 單一骨折 single,第七節,顎骨骨折開放手術
64102B,6636,－ 複雜骨折 multiple,第七節,顎骨骨折開放手術
64103B,5861,下顎骨斷離術 Mandibular osteotomy,第七節,顎骨骨折開放手術
64104B,5136,－ 邊緣切除marginal,第七節,顎骨骨折開放手術
64105B,7640,－ 部份切除 partial,第七節,顎骨骨折開放手術
64106B,8184,－ 半切除hemi-resection,第七節,顎骨骨折開放手術
64107C,2805,下顎骨脫位復位術 Reduction of dislocation of mandibular,第七節,顎骨骨折開放手術
64108B,11154,下顎骨骨折開放性復位（簡單） Open reduction of mandible(simple),第七節,顎骨骨折開放手術
64109B,6528,上顎骨懸掛式鋼絲 Maxilla suspension wiring,第七節,顎骨骨折開放手術
64110B,7030,"上顎骨簡單開放性復位 Maxilla open reduction, simple",第七節,顎骨骨折開放手術
64111B,14898,"上顎骨複雜開放性復位 Maxilla open reduction, complicated",第七節,顎骨骨折開放手術
64112B,14081,－ 矽板植入 silicon sheet implant,第七節,眼眶底開放性復位術
64113B,18430,－ 自體植入 autograft,第七節,眼眶底開放性復位術
64114B,7392,上下顎間鋼絲固定 Inter-maxillary wiring (Inter-dental wiring),第七節,眼眶底開放性復位術
64115B,14450,顎關節強直解除術 Release of T.M. joint ankylosis,第七節,眼眶底開放性復位術
64116C,4150,頸部良性腫瘤切除，簡單 Benign neck mass excision (simple),第七節,眼眶底開放性復位術
64117C,6816,跟腱斷裂縫合術 Rupture of achilles tendon primary suture,第七節,眼眶底開放性復位術
64118B,5263,臏骨韌帶斷裂縫合術 Rupture of patella tendon repair,第七節,眼眶底開放性復位術
64119B,5493,雙頭肌腱斷裂縫合術 Rupture of biceps tendon repair,第七節,眼眶底開放性復位術
64120B,5862,四頭肌腱斷裂縫合術 Rupture of quadriceps tendon repair,第七節,眼眶底開放性復位術
64121B,5534,－小破裂 small,第七節,眼眶底開放性復位術
64122B,7070,－大破裂 large or massive 註： 1.64122B一般材料費及單次使用小骨鋸片、鑽頭、關節鏡專 用套管，得另加計百分之一百十二。 2.64121B及64122B不得同時申報64285B。,第七節,眼眶底開放性復位術
64123B,5210,臀大肌，肩三角肌纖維化(攣縮)鬆弛術 Gluteal deltoid muscle contracture or snaping hip release.,第七節,眼眶底開放性復位術
64124B,3765,肩峰成形術Acromioplasty,第七節,眼眶底開放性復位術
64125C,5008,脛骨粗隆結節切除術或骨融合術 Excision or fusion of tibial tuberosity,第七節,眼眶底開放性復位術
64126B,4853,臏骨半脫位外側放鬆術 Patella subluxation lateral release,第七節,眼眶底開放性復位術
64127C,4980,臏骨軟骨軟化症造孔術 Chondromalacia of patella(drilling or shaving),第七節,眼眶底開放性復位術
64128B,4940,足踝韌帶修補術 Repair of ankle joint ligaments,第七節,眼眶底開放性復位術
64132C,4904,大腳趾外翻 Hallux valgus (McBride procedure),第七節,眼眶底開放性復位術
64133C,5275,大腳趾外翻（截骨術）Hallux valgus (Chevron) 註：一般材料費及單次使用骨鋸片，得另加計百分之一百十 四。,第七節,眼眶底開放性復位術
64134B,8587,拇指基關節韌帶成形術 Ligament reconstruction of basal joint,第七節,眼眶底開放性復位術
64135B,7230,拇指基關節韌帶植入術 Ligament interposition of basal joint,第七節,眼眶底開放性復位術
64136B,11371,掌骨肌膜植入術 Fascial interposition for carpal bone,第七節,眼眶底開放性復位術
64137B,5186,手部根蒂皮瓣移植術,第七節,眼眶底開放性復位術
64138C,4625,根蒂皮瓣分離術 Division of pedicle flap,第七節,眼眶底開放性復位術
64140C,4640,甲床與手指重建術 Reconstruction of nail,第七節,眼眶底開放性復位術
64141C,11301,一般瘢痕攣縮鬆弛術 Release of scar contracture 註： 1.限有顯著運動限制者。 2.組織擴張器之植入或取出重建比照申報。,第七節,眼眶底開放性復位術
64142B,4910,骨瘻抑制術 Epiphysiodesis (include stapling),第七節,眼眶底開放性復位術
64143B,6330,骨關節腫瘤摘除術 Excision of tumor mass of bone and joint 註：一般材料費及單次使用鑽石鑽頭、氣動切割鑽頭，得另 加計百分之一百零七。,第七節,眼眶底開放性復位術
64144B,8286,脊椎椎體搔爬術或切除術，單節椎體 Curettage or excision of single vertebral body,第七節,眼眶底開放性復位術
64148B,22812,骨盤半切斷術 Hemipelvectomy,第七節,眼眶底開放性復位術
64149B,10140,上顎骨惡性腫瘍摘除術合併淋巴切除 Excision operation of malignant tumor of upper jaw with lymphadectomy,第七節,眼眶底開放性復位術
64150B,18000,上顎骨惡性腫瘍摘除術合併頸部清除術 Excision operation of malignant tumor of upper jaw with neck dissection,第七節,眼眶底開放性復位術
64151B,10140,下顎骨惡性腫瘍摘除術合併淋巴切除 Excision operation of malignant tumor of lower jaw with lymphadectomy,第七節,眼眶底開放性復位術
64152B,21600,下顎骨惡性腫瘍摘除術合併頸部清除 Excision operation of malignant tumor of lower jaw with neck dissection,第七節,眼眶底開放性復位術
64153B,26157,－ 一隻手指 one finger,第七節,眼眶底開放性復位術
64154B,34416,－ 二隻手指 two fingers,第七節,眼眶底開放性復位術
